date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:18	23594/23594	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:19%20GMT	https://www.nintendoswitch.com.cn/robots.txt		(from )
13:38:19	133576/133576	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Oct%202020%2019:38:19%20GMT	https://www.nintendoswitch.com.cn/	C:/Users/Galindo/Documents/Archive/test/testiiii/www.nintendoswitch.com.cn/index.html	(from )
13:38:19	86850/86850	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:19%20GMT	https://www.nintendoswitch.com.cn/favicon.ico	C:/Users/Galindo/Documents/Archive/test/testiiii/www.nintendoswitch.com.cn/favicon.ico	(from https://www.nintendoswitch.com.cn/)
13:38:20	59/59	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:20%20GMT	http://switch-cn.gtgres.com/home/_dynamic/8fd95bfd9f18847dcc3d.js	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/8fd95bfd9f18847dcc3d.1.delayed	(from https://www.nintendoswitch.com.cn/)
13:38:22	2771/2771	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2029%20Sep%202020%2011:02:32%20GMT	https://switch-cn.gtgres.com/home/_dynamic/8fd95bfd9f18847dcc3d.js	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/8fd95bfd9f18847dcc3d.js	(from https://www.nintendoswitch.com.cn/)
13:38:22	59/59	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:22%20GMT	http://switch-cn.gtgres.com/home/_dynamic/e3710222394f1f7d9a3b.js	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/e3710222394f1f7d9a3b.js	(from https://www.nintendoswitch.com.cn/)
13:38:23	59/59	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:23%20GMT	http://switch-cn.gtgres.com/home/_dynamic/8c4fb2eee29771553e4d.js	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/8c4fb2eee29771553e4d.js	(from https://www.nintendoswitch.com.cn/)
13:38:23	171612/171612	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2029%20Sep%202020%2011:02:33%20GMT	https://switch-cn.gtgres.com/home/_dynamic/e3710222394f1f7d9a3b.js	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/e3710222394f1f7d9a3b.js	(from https://www.nintendoswitch.com.cn/)
13:38:25	59/59	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:24%20GMT	http://switch-cn.gtgres.com/home/_dynamic/fb8f0af0d4183d0233e9.js	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/fb8f0af0d4183d0233e9.js	(from https://www.nintendoswitch.com.cn/)
13:38:25	221886/221886	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2029%20Sep%202020%2011:02:32%20GMT	https://switch-cn.gtgres.com/home/_dynamic/8c4fb2eee29771553e4d.js	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/8c4fb2eee29771553e4d.js	(from https://www.nintendoswitch.com.cn/)
13:38:26	208089/208089	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2029%20Sep%202020%2011:02:34%20GMT	https://switch-cn.gtgres.com/home/_dynamic/fb8f0af0d4183d0233e9.js	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/fb8f0af0d4183d0233e9.js	(from https://www.nintendoswitch.com.cn/)
13:38:26	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:25%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/46dbce9.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/46dbce9.jpg	(from https://www.nintendoswitch.com.cn/)
13:38:27	86850/86850	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:28%20GMT	https://www.nintendoswitch.com.cn/POST	C:/Users/Galindo/Documents/Archive/test/testiiii/www.nintendoswitch.com.cn/POST	(from https://www.nintendoswitch.com.cn/)
13:38:28	259865/259865	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2011:02:43%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/46dbce9.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/46dbce9.jpg	(from https://www.nintendoswitch.com.cn/)
13:38:28	76728/76728	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2006%20Oct%202020%2012:20:00%20GMT	https://res.wx.qq.com/mmbizwap/zh_CN/htmledition/js/vconsole/3.0.0/vconsole.min.js	C:/Users/Galindo/Documents/Archive/test/testiiii/res.wx.qq.com/mmbizwap/zh_CN/htmledition/js/vconsole/3.0.0/vconsole.min.js	(from https://www.nintendoswitch.com.cn/)
13:38:29	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:29%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/2f14ed5.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/2f14ed5.png	(from https://www.nintendoswitch.com.cn/)
13:38:29	62833/62833	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Oct%202020%2019:38:29%20GMT	https://www.nintendoswitch.com.cn/jump-rope-challenge/	C:/Users/Galindo/Documents/Archive/test/testiiii/www.nintendoswitch.com.cn/jump-rope-challenge/index.html	(from https://www.nintendoswitch.com.cn/)
13:38:29	14506/14506	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Sep%202020%2011:02:40%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/2f14ed5.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/2f14ed5.png	(from https://www.nintendoswitch.com.cn/)
13:38:30	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:29%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/ec48310.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/ec48310.png	(from https://www.nintendoswitch.com.cn/)
13:38:30	7242/7242	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Sep%202020%2011:03:05%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/ec48310.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/ec48310.png	(from https://www.nintendoswitch.com.cn/)
13:38:31	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:31%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/2a0e110.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/2a0e110.png	(from https://www.nintendoswitch.com.cn/)
13:38:31	17920/17920	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Sep%202020%2011:02:40%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/2a0e110.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/2a0e110.png	(from https://www.nintendoswitch.com.cn/)
13:38:31	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:31%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/9f9d9da.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/9f9d9da.png	(from https://www.nintendoswitch.com.cn/)
13:38:31	2438/2438	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Sep%202020%2011:02:53%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/9f9d9da.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/9f9d9da.png	(from https://www.nintendoswitch.com.cn/)
13:38:32	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:32%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/2cb71af.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/2cb71af.jpg	(from https://www.nintendoswitch.com.cn/)
13:38:32	298255/298255	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Oct%202020%2019:38:32%20GMT	https://www.nintendoswitch.com.cn/hardware	C:/Users/Galindo/Documents/Archive/test/testiiii/www.nintendoswitch.com.cn/hardware.html	(from https://www.nintendoswitch.com.cn/)
13:38:32	16637/16637	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2011:02:40%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/2cb71af.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/2cb71af.jpg	(from https://www.nintendoswitch.com.cn/)
13:38:34	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:33%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/417b576.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/417b576.jpg	(from https://www.nintendoswitch.com.cn/)
13:38:34	239055/239055	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Oct%202020%2019:38:33%20GMT	https://www.nintendoswitch.com.cn/hardware/accessories	C:/Users/Galindo/Documents/Archive/test/testiiii/www.nintendoswitch.com.cn/hardware/accessories.html	(from https://www.nintendoswitch.com.cn/)
13:38:34	16105/16105	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2011:02:42%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/417b576.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/417b576.jpg	(from https://www.nintendoswitch.com.cn/)
13:38:35	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:34%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/2fe718e.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/2fe718e.jpg	(from https://www.nintendoswitch.com.cn/)
13:38:35	130709/130709	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Oct%202020%2019:38:35%20GMT	https://www.nintendoswitch.com.cn/amiibo	C:/Users/Galindo/Documents/Archive/test/testiiii/www.nintendoswitch.com.cn/amiibo.html	(from https://www.nintendoswitch.com.cn/)
13:38:35	39374/39374	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202020%2011:02:40%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/2fe718e.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/2fe718e.jpg	(from https://www.nintendoswitch.com.cn/)
13:38:37	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:36%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/67211ae.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/67211ae.png	(from https://www.nintendoswitch.com.cn/)
13:38:37	150909/150909	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Oct%202020%2019:38:36%20GMT	https://www.nintendoswitch.com.cn/topics	C:/Users/Galindo/Documents/Archive/test/testiiii/www.nintendoswitch.com.cn/topics.html	(from https://www.nintendoswitch.com.cn/)
13:38:37	11438/11438	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Sep%202020%2011:02:46%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/67211ae.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/67211ae.png	(from https://www.nintendoswitch.com.cn/)
13:38:38	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:37%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/72d4107.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/72d4107.png	(from https://www.nintendoswitch.com.cn/)
13:38:39	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:39%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/542652b.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/542652b.png	(from https://www.nintendoswitch.com.cn/)
13:38:39	63631/63631	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Sep%202020%2011:02:48%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/72d4107.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/72d4107.png	(from https://www.nintendoswitch.com.cn/)
13:38:41	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:41%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/803ec2f.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/803ec2f.png	(from https://www.nintendoswitch.com.cn/)
13:38:41	125689/125689	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Sep%202020%2011:02:44%20GMT	https://switch-cn.gtgres.com/home/_dynamic/img/542652b.png	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/542652b.png	(from https://www.nintendoswitch.com.cn/)
13:38:43	51/51	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Oct%202020%2019:38:41%20GMT	http://switch-cn.gtgres.com/home/_dynamic/img/4926b46.jpg	C:/Users/Galindo/Documents/Archive/test/testiiii/switch-cn.gtgres.com/home/_dynamic/img/4926b46.jpg	(from https://www.nintendoswitch.com.cn/)
